ts,Open,High,Low,Close,Volume
2026-05-14 16:03:00+00:00,7537.75,7538.25,7537.25,7538.25,0
2026-05-14 16:04:00+00:00,7538.25,7539.5,7538.0,7539.0,2961
2026-05-14 16:05:00+00:00,7539.0,7539.5,7537.75,7539.5,1895
2026-05-14 16:06:00+00:00,7539.5,7540.0,7537.25,7538.0,3236
2026-05-14 16:07:00+00:00,7538.0,7538.5,7537.25,7538.0,1652
2026-05-14 16:08:00+00:00,7537.75,7538.25,7537.0,7537.5,1472
2026-05-14 16:09:00+00:00,7537.75,7537.75,7536.25,7536.5,2375
2026-05-14 16:10:00+00:00,7536.25,7538.0,7535.5,7537.25,2728
2026-05-14 16:11:00+00:00,7537.25,7538.25,7536.75,7537.0,1770
2026-05-14 16:12:00+00:00,7537.0,7538.0,7536.5,7537.0,1694
2026-05-14 16:13:00+00:00,7537.0,7537.0,7535.5,7535.5,1940
2026-05-14 16:14:00+00:00,7535.75,7536.0,7533.75,7534.25,3508
2026-05-14 16:15:00+00:00,7534.0,7535.75,7533.75,7535.5,2713
2026-05-14 16:16:00+00:00,7535.5,7537.0,7534.75,7537.0,1624
2026-05-14 16:17:00+00:00,7537.25,7537.75,7537.0,7537.75,1339
2026-05-14 16:18:00+00:00,7537.5,7538.0,7536.75,7537.75,1515
2026-05-14 16:19:00+00:00,7537.5,7537.75,7534.25,7534.75,2117
2026-05-14 16:20:00+00:00,7534.75,7535.75,7534.5,7535.5,1833
2026-05-14 16:21:00+00:00,7535.5,7538.0,7535.25,7537.75,2395
2026-05-14 16:22:00+00:00,7537.5,7537.75,7535.0,7535.25,2338
2026-05-14 16:23:00+00:00,7535.25,7535.75,7532.75,7532.75,2777
2026-05-14 16:24:00+00:00,7533.0,7533.0,7530.75,7531.0,2940
2026-05-14 16:25:00+00:00,7531.0,7532.0,7529.25,7529.75,3328
2026-05-14 16:26:00+00:00,7530.0,7530.0,7524.5,7524.5,5231
2026-05-14 16:27:00+00:00,7524.5,7528.25,7524.0,7527.75,4818
2026-05-14 16:28:00+00:00,7527.75,7527.75,7525.0,7525.75,3465
2026-05-14 16:29:00+00:00,7526.0,7526.0,7522.75,7524.25,4901
2026-05-14 16:30:00+00:00,7524.5,7527.0,7523.75,7526.5,3749
2026-05-14 16:31:00+00:00,7526.5,7527.0,7525.0,7525.75,2527
2026-05-14 16:32:00+00:00,7525.75,7526.25,7523.25,7523.25,3107
2026-05-14 16:33:00+00:00,7523.25,7523.5,7519.75,7519.75,6308
2026-05-14 16:34:00+00:00,7519.75,7522.25,7518.0,7520.75,5356
2026-05-14 16:35:00+00:00,7520.5,7522.75,7520.0,7521.75,3206
2026-05-14 16:36:00+00:00,7522.0,7524.0,7521.75,7523.75,3562
2026-05-14 16:37:00+00:00,7524.0,7524.25,7521.25,7521.75,3310
2026-05-14 16:38:00+00:00,7522.0,7524.25,7521.75,7524.0,1690
2026-05-14 16:39:00+00:00,7524.25,7525.75,7523.25,7525.75,2786
2026-05-14 16:40:00+00:00,7525.75,7527.75,7525.25,7526.75,2649
2026-05-14 16:41:00+00:00,7526.75,7527.5,7524.5,7527.5,2923
2026-05-14 16:42:00+00:00,7527.25,7527.75,7526.25,7527.0,1584
2026-05-14 16:43:00+00:00,7526.75,7527.0,7525.25,7526.0,1555
2026-05-14 16:44:00+00:00,7526.0,7526.0,7522.25,7522.75,2726
