ts,Open,High,Low,Close,Volume
2026-05-14 06:09:00+00:00,29621.75,29629.0,29621.75,29625.25,0
2026-05-14 06:10:00+00:00,29626.0,29633.75,29624.5,29633.75,83
2026-05-14 06:11:00+00:00,29632.75,29634.0,29621.75,29621.75,130
2026-05-14 06:12:00+00:00,29623.75,29623.75,29607.0,29613.0,209
2026-05-14 06:13:00+00:00,29613.0,29618.25,29611.25,29618.25,119
2026-05-14 06:14:00+00:00,29619.25,29625.75,29617.5,29625.75,92
2026-05-14 06:15:00+00:00,29625.75,29626.25,29620.25,29622.5,74
2026-05-14 06:16:00+00:00,29622.0,29622.0,29616.75,29619.5,53
2026-05-14 06:17:00+00:00,29620.5,29624.5,29617.5,29619.75,51
2026-05-14 06:18:00+00:00,29619.75,29620.5,29614.0,29618.25,103
2026-05-14 06:19:00+00:00,29619.5,29621.25,29617.0,29618.5,68
2026-05-14 06:20:00+00:00,29620.25,29624.75,29619.75,29621.75,69
2026-05-14 06:21:00+00:00,29621.5,29630.5,29621.5,29628.25,89
2026-05-14 06:22:00+00:00,29629.25,29633.0,29629.25,29632.5,90
2026-05-14 06:23:00+00:00,29631.5,29640.75,29626.25,29628.0,466
2026-05-14 06:24:00+00:00,29629.0,29631.5,29626.0,29626.0,92
2026-05-14 06:25:00+00:00,29625.5,29630.25,29616.0,29618.75,240
2026-05-14 06:26:00+00:00,29619.75,29624.75,29618.5,29623.25,66
2026-05-14 06:27:00+00:00,29624.25,29628.0,29622.25,29627.5,42
2026-05-14 06:28:00+00:00,29627.25,29631.25,29626.75,29630.25,34
2026-05-14 06:29:00+00:00,29629.75,29632.75,29622.75,29623.75,84
2026-05-14 06:30:00+00:00,29623.0,29631.5,29620.25,29631.0,119
2026-05-14 06:31:00+00:00,29629.75,29630.25,29621.75,29625.75,77
2026-05-14 06:32:00+00:00,29625.5,29626.0,29622.25,29626.0,42
2026-05-14 06:33:00+00:00,29626.25,29626.5,29622.0,29625.75,27
2026-05-14 06:34:00+00:00,29627.0,29630.25,29624.5,29630.25,28
2026-05-14 06:35:00+00:00,29630.0,29631.5,29624.25,29627.0,109
2026-05-14 06:36:00+00:00,29628.25,29630.25,29624.75,29629.75,70
2026-05-14 06:37:00+00:00,29628.5,29635.0,29627.0,29635.0,73
2026-05-14 06:38:00+00:00,29634.25,29636.0,29628.25,29632.25,160
2026-05-14 06:39:00+00:00,29632.75,29636.5,29632.75,29635.75,77
2026-05-14 06:40:00+00:00,29635.0,29637.75,29633.0,29633.25,90
2026-05-14 06:41:00+00:00,29634.25,29636.5,29630.25,29636.0,103
2026-05-14 06:42:00+00:00,29636.5,29636.5,29629.75,29633.5,224
2026-05-14 06:43:00+00:00,29632.75,29635.5,29628.0,29629.5,53
2026-05-14 06:44:00+00:00,29628.5,29633.0,29625.25,29632.5,122
2026-05-14 06:45:00+00:00,29631.75,29633.25,29620.75,29622.0,243
2026-05-14 06:46:00+00:00,29622.0,29629.5,29621.5,29626.5,108
2026-05-14 06:47:00+00:00,29625.75,29626.75,29623.5,29624.5,63
2026-05-14 06:48:00+00:00,29625.0,29625.0,29619.75,29622.75,77
