date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-06-15,SELL,2021-06-15T14:29:00+00:00,14069.75,14059.25,EOD,2,60.75,0.1728,39.04,False
2021-06-16,BUY,2021-06-16T14:08:00+00:00,14092.0,14042.5,STOP,2,49.5,-1.0,-200.96,False
2021-06-17,BUY,2021-06-17T14:03:00+00:00,14035.75,14160.0,EOD,1,103.75,1.1976,247.02,False
2021-06-18,SELL,2021-06-18T15:13:00+00:00,14042.75,14015.0,EOD,1,88.75,0.3127,54.02,False
2021-06-21,BUY,2021-06-21T14:11:00+00:00,14074.5,14105.75,EOD,1,116.0,0.2694,61.02,False
2021-06-22,BUY,2021-06-22T14:32:00+00:00,14179.25,14206.75,EOD,1,71.75,0.3833,53.52,False
2021-06-23,SELL,2021-06-23T15:05:00+00:00,14252.5,14270.75,EOD,2,59.25,-0.308,-75.96,False
2021-06-24,BUY,2021-06-24T14:06:00+00:00,14388.75,14395.5,EOD,2,44.75,0.1508,24.04,False
2021-06-25,SELL,2021-06-25T14:12:00+00:00,14325.5,14354.5,EOD,1,65.0,-0.4462,-59.48,False
2021-06-28,BUY,2021-06-28T14:02:00+00:00,14461.75,14474.75,EOD,1,71.0,0.1831,24.52,False
2021-06-30,BUY,2021-06-30T15:01:00+00:00,14573.5,14548.75,EOD,2,53.75,-0.4605,-101.96,False
2021-07-01,SELL,2021-07-01T14:21:00+00:00,14511.25,14491.5,EOD,2,58.75,0.3362,76.04,False
2021-07-06,BUY,2021-07-06T14:08:00+00:00,14778.5,14738.0,STOP,3,40.5,-1.0,-247.44,False
2021-07-07,SELL,2021-07-07T14:04:00+00:00,14811.0,14766.5,EOD,1,72.75,0.6117,87.52,False
2021-07-08,BUY,2021-07-08T14:06:00+00:00,14644.5,14645.0,EOD,1,104.0,0.0048,-0.48,False
2021-07-09,BUY,2021-07-09T14:24:00+00:00,14726.0,14796.75,EOD,2,58.0,1.2198,280.04,False
2021-07-12,SELL,2021-07-12T14:02:00+00:00,14808.25,14828.25,EOD,1,80.25,-0.2492,-41.48,False
2021-07-13,BUY,2021-07-13T14:02:00+00:00,14929.75,14989.75,EOD,1,87.5,0.6857,118.52,False
2021-07-14,BUY,2021-07-14T14:05:00+00:00,14992.25,14935.0,STOP,2,57.25,-1.0,-231.96,False
2021-07-15,SELL,2021-07-15T14:29:00+00:00,14787.5,14818.0,EOD,1,114.75,-0.2658,-62.48,False
2021-07-16,SELL,2021-07-16T14:09:00+00:00,14797.0,14710.5,EOD,1,72.5,1.1931,171.52,False
2021-07-19,SELL,2021-07-19T14:02:00+00:00,14458.0,14533.0,EOD,1,115.5,-0.6494,-151.48,False
2021-07-20,BUY,2021-07-20T14:21:00+00:00,14608.5,14662.0,EOD,1,91.75,0.5831,105.52,False
2021-07-21,BUY,2021-07-21T14:25:00+00:00,14761.25,14774.25,EOD,1,69.0,0.1884,24.52,False
2021-07-22,BUY,2021-07-22T14:04:00+00:00,14895.25,14894.5,EOD,2,55.75,-0.0135,-5.96,False
2021-07-23,BUY,2021-07-23T14:18:00+00:00,14999.25,15057.75,EOD,1,65.0,0.9,115.52,False
2021-07-26,BUY,2021-07-26T14:02:00+00:00,15101.75,15106.0,EOD,2,61.5,0.0691,14.04,False
2021-07-27,SELL,2021-07-27T14:06:00+00:00,15016.0,14871.25,EOD,1,91.0,1.5907,288.02,False
2021-07-29,BUY,2021-07-29T15:02:00+00:00,15082.0,15069.75,EOD,1,99.75,-0.1228,-25.98,False
2021-07-30,BUY,2021-07-30T14:02:00+00:00,14960.25,14937.5,EOD,1,94.25,-0.2414,-46.98,False
2021-08-02,BUY,2021-08-02T15:23:00+00:00,15047.5,15043.0,EOD,1,111.75,-0.0403,-10.48,False
2021-08-03,SELL,2021-08-03T14:08:00+00:00,14888.75,14888.25,EOD,1,120.0,0.0042,-0.48,False
2021-08-04,SELL,2021-08-04T14:21:00+00:00,15007.5,15025.0,EOD,2,62.0,-0.2823,-72.96,False
2021-08-05,BUY,2021-08-05T14:10:00+00:00,15129.0,15151.0,EOD,2,56.0,0.3929,85.04,False
2021-08-06,SELL,2021-08-06T14:06:00+00:00,15097.25,15087.5,EOD,2,52.75,0.1848,36.04,False
2021-08-10,BUY,2021-08-10T14:02:00+00:00,15155.0,15116.75,STOP,3,38.25,-1.0,-233.94,False
2021-08-11,SELL,2021-08-11T14:12:00+00:00,15042.5,14996.25,EOD,1,76.5,0.6046,91.02,False
2021-08-12,BUY,2021-08-12T14:20:00+00:00,15008.5,15044.0,EOD,2,62.0,0.5726,139.04,False
2021-08-13,BUY,2021-08-13T14:12:00+00:00,15110.0,15111.75,EOD,3,41.75,0.0419,6.06,False
2021-08-16,SELL,2021-08-16T14:07:00+00:00,15015.5,14958.25,EOD,1,96.75,0.5917,113.02,False
2021-08-17,BUY,2021-08-17T14:44:00+00:00,15048.5,14983.0,EOD,1,93.5,-0.7005,-132.48,False
2021-08-19,BUY,2021-08-19T14:02:00+00:00,14846.25,14912.25,EOD,1,82.5,0.8,130.52,False
2021-08-20,BUY,2021-08-20T14:04:00+00:00,15048.5,15049.25,EOD,1,89.5,0.0084,0.02,False
2021-08-23,BUY,2021-08-23T14:02:00+00:00,15212.5,15272.0,EOD,1,87.75,0.6781,117.52,False
2021-08-24,BUY,2021-08-24T14:10:00+00:00,15361.25,15341.25,EOD,2,48.25,-0.4145,-82.96,False
2021-08-25,SELL,2021-08-25T14:10:00+00:00,15357.0,15360.5,EOD,3,40.0,-0.0875,-25.44,False
2021-08-26,BUY,2021-08-26T14:07:00+00:00,15363.0,15334.25,STOP,4,28.75,-1.0,-235.92,False
2021-08-27,BUY,2021-08-27T14:03:00+00:00,15364.5,15382.5,EOD,1,80.25,0.2243,34.52,False
