date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-07-14,BUY,2021-07-14T13:35:00+00:00,14983.75,14951.5,STOP,7,32.25,-1.0,-461.86,False
2021-07-19,SELL,2021-07-19T13:35:00+00:00,14499.75,14553.75,STOP,4,54.0,-1.0,-437.92,False
2021-08-11,BUY,2021-08-11T13:35:00+00:00,15110.0,15081.0,STOP,8,29.0,-1.0,-475.84,False
2021-08-17,SELL,2021-08-17T13:35:00+00:00,15008.75,15021.0,STOP,19,12.25,-1.0,-493.62,False
2021-09-02,BUY,2021-09-02T13:35:00+00:00,15669.25,15659.25,STOP,23,10.0,-1.0,-494.04,False
2021-09-10,BUY,2021-09-10T13:35:00+00:00,15661.75,15637.25,STOP,9,24.5,-1.0,-454.32,False
2021-09-27,SELL,2021-09-27T13:35:00+00:00,15152.5,15214.5,STOP,3,62.0,-1.0,-376.44,False
2021-09-28,SELL,2021-09-28T13:35:00+00:00,14979.75,14789.75,EOD,4,49.25,3.8579,1514.08,False
2021-10-07,BUY,2021-10-07T13:35:00+00:00,14933.0,14966.75,EOD,3,73.75,0.4576,198.06,False
2021-10-13,BUY,2021-10-13T13:35:00+00:00,14750.25,14718.0,STOP,7,32.25,-1.0,-461.86,False
2021-10-26,BUY,2021-10-26T13:35:00+00:00,15626.5,15665.75,EOD,5,46.5,0.8441,385.1,False
2021-11-05,BUY,2021-11-05T13:35:00+00:00,16415.5,16390.25,STOP,9,25.25,-1.0,-467.82,False
2021-11-10,SELL,2021-11-10T14:35:00+00:00,16064.5,16109.0,STOP,5,44.5,-1.0,-452.4,False
2021-11-22,BUY,2021-11-22T14:35:00+00:00,16670.75,16638.25,STOP,7,32.5,-1.0,-465.36,False
2021-11-24,SELL,2021-11-24T14:35:00+00:00,16148.75,16208.25,STOP,3,59.5,-1.0,-361.44,False
2021-12-07,BUY,2021-12-07T14:35:00+00:00,16157.5,16279.5,EOD,6,38.5,3.1688,1455.12,False
2021-12-10,BUY,2021-12-10T14:35:00+00:00,16308.25,16255.5,STOP,4,52.75,-1.0,-427.92,False
2022-01-10,SELL,2022-01-10T14:35:00+00:00,15325.25,15321.75,EOD,2,89.75,0.039,11.04,False
2022-01-12,BUY,2022-01-12T14:35:00+00:00,15984.5,15926.5,STOP,4,58.0,-1.0,-469.92,False
2022-01-18,SELL,2022-01-18T14:35:00+00:00,15292.25,15372.75,STOP,2,80.5,-1.0,-324.96,False
2022-01-20,BUY,2022-01-20T14:35:00+00:00,15200.0,15298.25,EOD,6,39.75,2.4717,1170.12,False
2022-01-24,SELL,2022-01-24T14:35:00+00:00,14189.75,14227.5,STOP,6,37.75,-1.0,-461.88,True
2022-02-15,BUY,2022-02-15T14:35:00+00:00,14502.5,14446.5,STOP,4,56.0,-1.0,-453.92,False
2022-02-22,BUY,2022-02-22T14:35:00+00:00,13888.75,13870.25,STOP,12,18.5,-1.0,-461.76,True
2022-02-23,BUY,2022-02-23T14:35:00+00:00,14009.75,13976.75,STOP,7,33.0,-1.0,-472.36,True
2022-03-10,SELL,2022-03-10T14:35:00+00:00,13531.25,13579.0,STOP,4,47.75,-1.0,-387.92,False
2022-03-16,BUY,2022-03-16T13:35:00+00:00,13647.75,13820.5,EOD,6,35.5,4.8662,2064.12,False
2022-03-29,BUY,2022-03-29T13:35:00+00:00,15204.75,15137.0,STOP,3,67.75,-1.0,-410.94,False
2022-04-06,SELL,2022-04-06T13:35:00+00:00,14602.0,14483.25,EOD,5,41.5,2.8614,1180.1,False
2022-04-11,SELL,2022-04-11T13:35:00+00:00,14124.75,14178.0,STOP,4,53.25,-1.0,-431.92,False
2022-04-21,BUY,2022-04-21T13:35:00+00:00,14260.0,14164.5,STOP,2,95.5,-1.0,-384.96,False
2022-04-28,BUY,2022-04-28T13:35:00+00:00,13215.5,13196.75,STOP,12,18.75,-1.0,-467.76,True
2022-05-05,SELL,2022-05-05T13:35:00+00:00,13299.5,12915.0,EOD,5,46.75,8.2246,3837.6,False
2022-05-12,SELL,2022-05-12T13:35:00+00:00,11739.0,11875.0,STOP,1,136.0,-1.0,-273.48,False
2022-05-17,BUY,2022-05-17T13:35:00+00:00,12505.25,12456.5,STOP,5,48.75,-1.0,-494.9,False
2022-05-24,SELL,2022-05-24T13:35:00+00:00,11794.75,11658.25,EOD,4,52.75,2.5877,1086.08,False
2022-06-06,BUY,2022-06-06T13:35:00+00:00,12743.0,12736.25,STOP,41,6.75,-1.0,-614.18,True
2022-06-10,SELL,2022-06-10T13:35:00+00:00,11983.5,11838.5,EOD,2,106.5,1.3615,577.04,False
2022-06-15,BUY,2022-06-15T13:35:00+00:00,11494.5,11466.5,STOP,9,28.0,-1.0,-517.32,False
2022-06-16,SELL,2022-06-16T13:35:00+00:00,11285.25,11216.25,EOD,4,64.5,1.0698,546.08,False
2022-06-24,BUY,2022-06-24T13:35:00+00:00,11904.5,12003.25,EOD,3,65.75,1.5019,588.06,False
2022-06-30,SELL,2022-06-30T13:35:00+00:00,11523.25,11588.0,STOP,3,64.75,-1.0,-392.94,False
2022-07-11,SELL,2022-07-11T13:35:00+00:00,12011.0,11936.25,EOD,5,50.75,1.4729,740.1,False
2022-07-14,SELL,2022-07-14T13:35:00+00:00,11595.5,11652.5,EOD,2,89.0,-0.6404,-230.96,False
2022-07-15,BUY,2022-07-15T13:35:00+00:00,11954.75,11922.0,STOP,8,32.75,-1.0,-535.84,False
2022-07-18,BUY,2022-07-18T13:35:00+00:00,12137.5,12140.0,EOD,5,47.75,0.0524,17.6,False
2022-08-19,SELL,2022-08-19T13:35:00+00:00,13395.5,13265.0,EOD,8,29.75,4.3866,2076.16,False
2022-08-22,SELL,2022-08-22T13:35:00+00:00,13037.5,12955.5,EOD,4,54.75,1.4977,650.08,False
2022-09-01,SELL,2022-09-01T13:35:00+00:00,12150.5,12191.75,STOP,6,41.25,-1.0,-503.88,False
2022-09-16,SELL,2022-09-16T13:35:00+00:00,11825.5,11871.25,STOP,5,45.75,-1.0,-464.9,False
2022-09-27,BUY,2022-09-27T13:35:00+00:00,11530.0,11461.0,STOP,3,69.0,-1.0,-418.44,False
2022-09-29,SELL,2022-09-29T13:35:00+00:00,11371.5,11216.5,EOD,8,30.75,5.0407,2468.16,False
2022-10-04,BUY,2022-10-04T13:35:00+00:00,11555.5,11657.5,EOD,6,41.25,2.4727,1215.12,False
2022-10-07,SELL,2022-10-07T13:35:00+00:00,11329.25,11348.0,STOP,14,18.75,-1.0,-545.72,False
2022-10-17,BUY,2022-10-17T13:35:00+00:00,11039.0,11090.75,EOD,7,40.0,1.2937,714.14,False
2022-11-01,BUY,2022-11-01T13:35:00+00:00,11598.5,11576.25,STOP,12,22.25,-1.0,-551.76,False
2022-11-25,SELL,2022-11-25T14:35:00+00:00,11770.0,11805.75,STOP,7,35.75,-1.0,-510.86,False
2022-12-14,BUY,2022-12-14T14:35:00+00:00,11988.0,12047.5,EOD,4,58.0,1.0259,470.08,False
2022-12-15,SELL,2022-12-15T14:35:00+00:00,11641.75,11493.75,EOD,3,73.75,2.0068,883.56,False
2022-12-22,SELL,2022-12-22T14:35:00+00:00,11142.25,11003.25,EOD,4,66.0,2.1061,1106.08,False
2022-12-29,BUY,2022-12-29T14:35:00+00:00,10896.0,11024.75,EOD,7,39.5,3.2595,1792.14,False
2023-01-09,BUY,2023-01-09T14:35:00+00:00,11220.0,11199.25,STOP,14,20.75,-1.0,-601.72,False
2023-01-25,SELL,2023-01-25T14:35:00+00:00,11687.0,11712.75,STOP,11,25.75,-1.0,-582.78,False
2023-01-26,BUY,2023-01-26T14:35:00+00:00,12036.5,12016.5,STOP,15,20.0,-1.0,-622.2,False
2023-01-30,SELL,2023-01-30T14:35:00+00:00,12072.0,12110.75,STOP,7,38.75,-1.0,-552.86,False
2023-02-02,BUY,2023-02-02T14:35:00+00:00,12712.75,12678.0,STOP,8,34.75,-1.0,-567.84,False
2023-03-14,BUY,2023-03-14T13:35:00+00:00,12083.25,12208.25,EOD,25,12.75,9.8039,6213.0,False
2023-03-23,BUY,2023-03-23T13:35:00+00:00,12869.5,12853.5,STOP,20,16.0,-1.0,-669.6,False
2023-03-29,BUY,2023-03-29T13:35:00+00:00,12905.25,12881.0,STOP,13,24.25,-1.0,-649.74,False
2023-04-10,SELL,2023-04-10T13:35:00+00:00,13026.75,13050.25,STOP,13,23.5,-1.0,-630.24,False
2023-04-13,BUY,2023-04-13T13:35:00+00:00,13057.25,13129.25,EOD,8,37.5,1.92,1140.16,False
2023-05-05,BUY,2023-05-05T13:35:00+00:00,13154.75,13272.25,EOD,10,30.5,3.8525,2335.2,False
2023-05-10,BUY,2023-05-10T13:35:00+00:00,13407.25,13365.0,STOP,7,42.25,-1.0,-601.86,False
2023-05-30,BUY,2023-05-30T13:35:00+00:00,14514.0,14476.0,STOP,8,38.0,-1.0,-619.84,False
2023-06-02,BUY,2023-06-02T13:35:00+00:00,14619.5,14543.0,STOP,4,76.5,-1.0,-617.92,False
2023-06-13,BUY,2023-06-13T13:35:00+00:00,14923.5,14891.75,STOP,10,31.75,-1.0,-649.8,False
2023-06-30,BUY,2023-06-30T13:35:00+00:00,15262.25,15328.0,EOD,13,23.75,2.7684,1690.26,False
2023-07-06,SELL,2023-07-06T13:35:00+00:00,15159.25,15135.75,EOD,5,55.0,0.4273,227.6,False
2023-07-12,BUY,2023-07-12T13:35:00+00:00,15433.25,15413.5,STOP,16,19.75,-1.0,-655.68,False
2023-07-13,BUY,2023-07-13T13:35:00+00:00,15589.5,15599.5,EOD,8,37.25,0.2685,148.16,False
2023-07-21,BUY,2023-07-21T13:35:00+00:00,15707.25,15656.75,STOP,6,50.5,-1.0,-614.88,False
2023-07-27,BUY,2023-07-27T13:35:00+00:00,15854.5,15823.0,STOP,10,31.5,-1.0,-644.8,False
2023-07-28,BUY,2023-07-28T13:35:00+00:00,15746.25,15863.75,EOD,10,30.5,3.8525,2335.2,False
2023-08-02,SELL,2023-08-02T13:35:00+00:00,15625.0,15503.75,EOD,7,43.75,2.7714,1687.14,False
2023-08-04,BUY,2023-08-04T13:35:00+00:00,15554.0,15496.5,STOP,5,57.5,-1.0,-582.4,False
2023-08-08,SELL,2023-08-08T13:35:00+00:00,15363.5,15260.5,EOD,21,16.0,6.4375,4294.92,False
2023-08-10,BUY,2023-08-10T13:35:00+00:00,15319.25,15273.25,STOP,7,46.0,-1.0,-654.36,False
2023-08-11,SELL,2023-08-11T13:35:00+00:00,15080.0,15092.0,STOP,30,12.0,-1.0,-764.4,True
2023-08-28,BUY,2023-08-28T13:35:00+00:00,15103.5,15060.25,STOP,8,43.25,-1.0,-703.84,False
2023-09-07,SELL,2023-09-07T13:35:00+00:00,15185.5,15203.25,STOP,19,17.75,-1.0,-702.62,False
