date,side,entry_time_utc,entry_price,exit_price,exit_reason,qty,stop_dist,r_multiple,pnl_usd,ambiguous
2021-07-14,BUY,2021-07-14T13:35:00+00:00,14983.75,14951.5,STOP,3,32.25,-1.0,-197.94,False
2021-07-19,SELL,2021-07-19T13:35:00+00:00,14499.75,14553.75,STOP,2,54.0,-1.0,-218.96,False
2021-08-11,BUY,2021-08-11T13:35:00+00:00,15110.0,15081.0,STOP,4,29.0,-1.0,-237.92,False
2021-08-17,SELL,2021-08-17T13:35:00+00:00,15008.75,15021.0,STOP,10,12.25,-1.0,-259.8,False
2021-09-02,BUY,2021-09-02T13:35:00+00:00,15669.25,15659.25,STOP,11,10.0,-1.0,-236.28,False
2021-09-10,BUY,2021-09-10T13:35:00+00:00,15661.75,15637.25,STOP,4,24.5,-1.0,-201.92,False
2021-09-27,SELL,2021-09-27T13:35:00+00:00,15152.5,15214.5,STOP,1,62.0,-1.0,-125.48,False
2021-09-28,SELL,2021-09-28T13:35:00+00:00,14979.75,14764.0,EOD,2,49.25,4.3807,860.04,False
2021-10-07,BUY,2021-10-07T13:35:00+00:00,14933.0,14896.75,EOD,1,73.75,-0.4915,-73.98,False
2021-10-13,BUY,2021-10-13T13:35:00+00:00,14750.25,14718.0,STOP,3,32.25,-1.0,-197.94,False
2021-10-26,BUY,2021-10-26T13:35:00+00:00,15626.5,15580.0,STOP,2,46.5,-1.0,-188.96,False
2021-11-05,BUY,2021-11-05T13:35:00+00:00,16415.5,16390.25,STOP,4,25.25,-1.0,-207.92,False
2021-11-10,SELL,2021-11-10T14:35:00+00:00,16064.5,16109.0,STOP,2,44.5,-1.0,-180.96,False
2021-11-22,BUY,2021-11-22T14:35:00+00:00,16670.75,16638.25,STOP,3,32.5,-1.0,-199.44,False
2021-11-24,SELL,2021-11-24T14:35:00+00:00,16148.75,16208.25,STOP,2,59.5,-1.0,-240.96,False
2021-12-07,BUY,2021-12-07T14:35:00+00:00,16157.5,16284.5,EOD,3,38.5,3.2987,757.56,False
2021-12-10,BUY,2021-12-10T14:35:00+00:00,16308.25,16255.5,STOP,2,52.75,-1.0,-213.96,False
2022-01-10,SELL,2022-01-10T14:35:00+00:00,15325.25,15415.0,STOP,1,89.75,-1.0,-180.98,False
2022-01-12,BUY,2022-01-12T14:35:00+00:00,15984.5,15926.5,STOP,2,58.0,-1.0,-234.96,False
2022-01-18,SELL,2022-01-18T14:35:00+00:00,15292.25,15372.75,STOP,1,80.5,-1.0,-162.48,False
2022-01-20,BUY,2022-01-20T14:35:00+00:00,15200.0,15160.25,STOP,3,39.75,-1.0,-242.94,False
2022-01-24,SELL,2022-01-24T14:35:00+00:00,14189.75,14227.5,STOP,3,37.75,-1.0,-230.94,True
2022-02-15,BUY,2022-02-15T14:35:00+00:00,14502.5,14446.5,STOP,2,56.0,-1.0,-226.96,False
2022-02-22,BUY,2022-02-22T14:35:00+00:00,13888.75,13870.25,STOP,6,18.5,-1.0,-230.88,True
2022-02-23,BUY,2022-02-23T14:35:00+00:00,14009.75,13976.75,STOP,3,33.0,-1.0,-202.44,True
2022-03-10,SELL,2022-03-10T14:35:00+00:00,13531.25,13579.0,STOP,2,47.75,-1.0,-193.96,False
2022-03-16,BUY,2022-03-16T13:35:00+00:00,13647.75,13612.25,STOP,3,35.5,-1.0,-217.44,False
2022-03-29,BUY,2022-03-29T13:35:00+00:00,15204.75,15137.0,STOP,1,67.75,-1.0,-136.98,False
2022-04-06,SELL,2022-04-06T13:35:00+00:00,14602.0,14643.5,STOP,2,41.5,-1.0,-168.96,False
2022-04-11,SELL,2022-04-11T13:35:00+00:00,14124.75,14178.0,STOP,2,53.25,-1.0,-215.96,False
2022-04-21,BUY,2022-04-21T13:35:00+00:00,14260.0,14164.5,STOP,1,95.5,-1.0,-192.48,False
2022-04-28,BUY,2022-04-28T13:35:00+00:00,13215.5,13196.75,STOP,6,18.75,-1.0,-233.88,True
2022-05-05,SELL,2022-05-05T13:35:00+00:00,13299.5,12796.75,EOD,2,46.75,10.754,2008.04,False
2022-05-17,BUY,2022-05-17T13:35:00+00:00,12505.25,12456.5,STOP,2,48.75,-1.0,-197.96,False
2022-05-24,SELL,2022-05-24T13:35:00+00:00,11794.75,11751.75,EOD,2,52.75,0.8152,169.04,False
2022-06-06,BUY,2022-06-06T13:35:00+00:00,12743.0,12736.25,STOP,19,6.75,-1.0,-284.62,True
2022-06-10,SELL,2022-06-10T13:35:00+00:00,11983.5,11867.0,EOD,1,106.5,1.0939,231.52,False
2022-06-15,BUY,2022-06-15T13:35:00+00:00,11494.5,11466.5,STOP,4,28.0,-1.0,-229.92,False
2022-06-16,SELL,2022-06-16T13:35:00+00:00,11285.25,11126.25,EOD,1,64.5,2.4651,316.52,False
2022-06-24,BUY,2022-06-24T13:35:00+00:00,11904.5,12114.75,EOD,1,65.75,3.1977,419.02,False
2022-06-30,SELL,2022-06-30T13:35:00+00:00,11523.25,11588.0,STOP,1,64.75,-1.0,-130.98,False
2022-07-11,SELL,2022-07-11T13:35:00+00:00,12011.0,11866.75,EOD,2,50.75,2.8424,574.04,False
2022-07-14,SELL,2022-07-14T13:35:00+00:00,11595.5,11684.5,STOP,1,89.0,-1.0,-179.48,False
2022-07-15,BUY,2022-07-15T13:35:00+00:00,11954.75,11922.0,STOP,3,32.75,-1.0,-200.94,False
2022-07-18,BUY,2022-07-18T13:35:00+00:00,12137.5,12089.75,STOP,2,47.75,-1.0,-193.96,False
